GenreCorrected,Count
family|sport,1
family|sportcomedy,1
family|spy,1
family|superhero,1
family|thriller,2
family|thriller|drama,1
family|western,1
fantasy,204
fantasyaction,1
fantasyaction|adventure,1
fantasyadventure,3
fantasyadventure|comedy,1
fantasyandcomedy,1
fantasyanimation,6
fantasychildren,1
fantasycomedy,1
fantasycostume,1
fantasydrama,7
fantasydramacomedy,1
fantasyhorror,1
fantasyperiod,1
fantasyromance,5
fantasyromance|horror,1
fantasythriller,6
fantasy|,1
fantasy| ,1
fantasy|action,2
fantasy|action|adventure,1
fantasy|action|adventure|science_fantasy|science_fiction|superhero,1
fantasy|action|comedy|comedy|drama|drama|magical girl,1
fantasy|action|comedy|comedy|drama|drama|science_fantasy,1
fantasy|action|drama|adventure|mystery|spy,1
fantasy|action|science_fantasy,2
fantasy|action|science_fantasy|science_fiction,1
fantasy|action|science_fantasy|science_fiction|spy|superhero,1
fantasy|adventure,9
fantasy|adventure|kids,1
fantasy|adventure|musical|drama|romance,1
fantasy|animation,3
fantasy|children,2
fantasy|children|action|comedy|comedy|drama,1
fantasy|comedy,5
fantasy|comedy|action,1
fantasy|comedy|adventure,1
fantasy|drama,3
fantasy|drama|action|magical girl|science_fantasy|spy,1
fantasy|drama|action|spy|superhero|tokusatsu,1
fantasy|drama|children|action|comedy,2
fantasy|drama|children|magical girl|science_fantasy,1
fantasy|drama|children|science_fiction|adventure|spy,1
fantasy|drama|comedy,1
fantasy|drama|comedy|mystery,1
fantasy|drama|dance|musical|romance|idol,1
fantasy|drama|romance,1
fantasy|drama|romance|science_fiction,1
fantasy|drama|science_fantasy,1
fantasy|drama|science_fiction|magical girl|superhero|spy,1
fantasy|family,1
fantasy|horror,2
fantasy|horror|romance,1
fantasy|horror|romance|science_fiction|thriller,1
fantasy|horror|science_fiction,1
fantasy|musical,2
fantasy|musical|romance,1
fantasy|romance,6
fantasy|romance|action,2
fantasy|romance|comedy,1
fantasy|romance|drama,1
fantasy|science_fiction,2
fantasy|science_fictiondrama,1
fantasy|science_fiction|action|mecha|supernatural,1
fantasy|sport,1
fantasy|swashbuckler,1
fantasy|teen,1
fantasy|thriller,6
fantasy|wuxia,1
feature|animation,1
fiction,2
folklore,17
found footage,1
found footage|horror,1
gangster,4
gangster ,2
gangster comedy,1
gangsterdrama,2
gangsterthriller,2
gore ,1
gothic mystery|dance,1
gun fu,2
harem|fantasy|action|drama|romance|comedy|magical girl,1
heist,3
heistcomedy,1
history,85
historyadventure,1
historyanimation,1
historybiography,2
historybiography|dramaon the early years of hitler,1
historycomedy,2
historycomedy|satire,1
historycostumeroticmance,1
historycostume|drama,1
historycrime,1
historydisaster romance,1
historydram,1
historyfantasy,1
historyfiction,2
historyhorror,1
historyromance,1
historyromancebased on colm tóibín's novel of the same name,1
historyromancefictiondrama,1
historyromance|drama,1
historysuperhero,6
historysuperherodrama,1
historysuperhero|disaster,1
history|action,5
history|action|drama,1
history|action|military|spy|superhero,2
history|action|war,1
history|biography,2
history|comedy,1
history|drama,65
history|drama|,1
history|drama|action,2
history|drama|action|superhero|spy|science_fiction,1
history|drama|comedy|drama|romance|youth,1
history|drama|musical,1
history|drama|romance,1
history|drama|triad,1
history|drama|war,1
history|erotic,1
history|fantasy,1
history|fantasy|adventure|action|science_fantasy|superhero,3
history|fantasy|drama|jidaigeki|action,2
history|musical,1
history|psychologicalthriller|comedy|darkfantasy|science_fantasy,1
history|romance,1
history|spy,1
history|superhero,1
history|thriller|drama,1
history|war,3
history||comedy|jidaigeki|tokusatsu|science_fantasy,1
hockeydrama,1
holocaust drama,1
horror,1183
horrorand priquitianism,1
horrordrama,3
horrordramacomedy,1
horrormasala,1
horrormusical,1
horrorromance|comedy,1
horrorspoof,1
horrorthriller,17
horror|action,3
horror|action|comedy,1
horror|action|monster|thriller|supernatural|spy,1
horror|action|supernatural|thriller|tokusatsu|drama,1
horror|adventure,1
horror|animation,1
horror|comedy,71
horror|comedy|horror|drama|monster,1
horror|comedy|parody,2
horror|comedy|romance,2
horror|darkfantasy|drama|horror|action|monster,2
horror|darkfantasy|horror|action|monster|spy,1
horror|drama,6
horror|drama|action|science_fiction,1
horror|drama|horror|thriller,1
horror|family,1
horror|fantasy,2
horror|fantasy|action|magical girl|science_fantasy|spy,1
horror|fantasy|adventure,2
horror|fantasy|drama,1
horror|fantasy||supernatural|jidaigeki|action,1
horror|found footage,1
horror|horror|action,1
horror|musical,3
horror|mystery,5
horror|mystery|romance|thriller,1
horror|mystery|thriller,3
horror|postapocalyptic|steampunk|action,1
horror|postapocalyptic|steampunk|spy|action,1
horror|psychologicalthriller|drama|darkfantasy,3
horror|romance,2
horror|romance|comedy,12
horror|science_fiction,11
horror|science_fiction|drama,1
horror|slasher,3
horror|suspense,6
horror|suspensethriller,1
horror|suspense|thriller,1
horror|thriller,25
horror|thriller|drama,2
horror|thriller|romance|musical,1
horror|thriller|supernatural,2
horror|thriller|supernatural|action|monster,1
horror|western,2
horror–thriller,2
huangmei opera,1
imax,1
imdb,2
immigrantfamilydrama,1
independent,1
indira amperiani|bhaskara s narayanan,1
inspired by true event,1
interactive cinema,1
inuitdrama,1
investigative,1
jeet|nusrat faria mazhar|shraddha das,1
jidaigeki,3
jr ntr|charmy kaur|ileana d'cruz,1
jr ntr|sameera reddy|sonu sood,1
k9 s,1
kaiju,13
kaiju eiga,2
kalyan ram,1
keiji,1
ken'ichi maysuyama|koyuki,1
koreanwar,1
kungfu,1
kungfu ,1
lee sinje,1
legaldrama,2
legend romancemusical,1
lgbtthemedcomedy|drama,1
lgbtthemeddrama,1
lgbt|drama,1
liberationwar,1
literary adaptation,1
literarydrama,20
liveaction|animation,1
magical girl|family|drama,1
mahesh babu|ileana d'cruz|prakash raj,1
malyana emergency adventure|drama,1
masala,16
medicaldrama,1
medicalthriller,2
mial drama,1
mial |action,1
military romance,1
mob,1
mob|neonoir,1
mocatsu,1
mockumentary,31
mockumentarycomedy,1
mockumentary|comedy,1
modern day passion play,1
mohanlal|mammootty|nedumudi venu|bharath gopi,1
mohit ahlawat|priyanka kothari,1
movies by the mob|knkspl,1
musical,478
musicalcomedy,154
musicaldrama,13
musicalfantasy,3
musicaliography,4
musicalromance,2
musicalthrillerdrama,1
musicalwestern,1
musical|action,1
musical|adventure,1
musical|biography,6
musical|biography|drama,1
musical|comedy,18
musical|comedy|romance,1
musical|documentary,1
musical|drama,10
musical|drama|romance,2
musical|drama|romance|family,1
musical|family,2
